Date,callsoffered,acdcalls,abncalls,acceptable
20-Aug-14,2630,2277,353,1359
21-Aug-14,2569,2230,339,1480
22-Aug-14,2731,2375,356,1372
23-Aug-14,1042,1008,30,924
24-Aug-14,552,481,71,390
25-Aug-14,3586,2655,928,1407
26-Aug-14,2998,2469,529,1346
27-Aug-14,2377,2015,362,1180
28-Aug-14,2632,2074,557,1187
29-Aug-14,2893,2247,644,1158
30-Aug-14,1129,999,129,619
31-Aug-14,474,439,35,394
01-Sep-14,748,719,29,658
02-Sep-14,4681,2594,2082,719
03-Sep-14,3491,2557,932,1125
04-Sep-14,2881,2478,401,1529
05-Sep-14,3040,2444,596,1337
06-Sep-14,1114,971,142,668
07-Sep-14,456,429,27,387
08-Sep-14,3893,2633,1249,761
09-Sep-14,3335,2642,692,1241
10-Sep-14,2802,2535,265,1870
11-Sep-14,2715,2451,262,1600
12-Sep-14,2792,2620,172,2062
13-Sep-14,1116,1058,57,915
14-Sep-14,601,538,63,449
15-Sep-14,3855,3116,737,1692
16-Sep-14,3142,2742,400,1667
17-Sep-14,2717,2503,208,1864
18-Sep-14,2762,2505,257,1725
19-Sep-14,3118,2699,402,1849
20-Sep-14,1205,1079,126,805
21-Sep-14,717,610,83,516
22-Sep-14,4148,3240,901,1488
23-Sep-14,2987,2654,321,1867
24-Sep-14,2955,2009,937,852
25-Sep-14,3078,2554,519,1446
26-Sep-14,3197,2677,513,1538
27-Sep-14,1268,1048,219,676
28-Sep-14,732,602,81,466
29-Sep-14,4246,2754,1480,538
30-Sep-14,3634,3081,550,1609
01-Oct-14,3162,2285,875,790
02-Oct-14,3108,2475,629,1197
03-Oct-14,3151,2568,581,1142
04-Oct-14,1295,1040,254,609
05-Oct-14,611,537,64,448
06-Oct-14,3938,2976,962,1403
07-Oct-14,3205,2538,664,1153
08-Oct-14,2770,2374,396,1321
09-Oct-14,2992,2515,475,1411
10-Oct-14,3249,2813,433,1597
11-Oct-14,1190,1011,171,736
12-Oct-14,649,528,110,437
13-Oct-14,2827,2630,196,2167
14-Oct-14,3491,2721,766,1394
15-Oct-14,3276,2815,460,1809
16-Oct-14,3295,2808,486,1751
17-Oct-14,3195,2837,353,1948
18-Oct-14,1176,1041,126,743
19-Oct-14,581,545,36,491
20-Oct-14,3947,3005,940,1461
21-Oct-14,3185,2698,478,1620
22-Oct-14,2806,2564,242,2036
23-Oct-14,2711,2503,207,2077
24-Oct-14,2804,2584,219,1988
25-Oct-14,1140,1042,98,805
26-Oct-14,680,615,65,561
27-Oct-14,3848,3322,526,2026
28-Oct-14,2974,2721,253,2173
29-Oct-14,2685,2497,187,1981
30-Oct-14,2447,2287,158,1801
31-Oct-14,2549,2390,158,2076
01-Nov-14,1225,1126,98,902
02-Nov-14,603,569,32,513
03-Nov-14,4216,3646,565,2147
04-Nov-14,3478,3084,392,1896
05-Nov-14,3020,2760,251,2006
06-Nov-14,2914,2619,267,1882
07-Nov-14,3045,2839,202,2268
08-Nov-14,1431,1327,103,1088
09-Nov-14,778,739,31,681
10-Nov-14,3937,3414,522,2050
11-Nov-14,2346,2166,171,1857
12-Nov-14,2903,2599,302,1996
13-Nov-14,2667,2533,125,2172
14-Nov-14,2898,2660,229,1996
15-Nov-14,1269,1215,52,1057
16-Nov-14,721,679,42,619
17-Nov-14,4644,4055,588,2458
18-Nov-14,3258,2943,314,1985
19-Nov-14,2749,2568,169,2167
20-Nov-14,2475,2327,147,1925
21-Nov-14,2643,2425,216,1900
22-Nov-14,1220,1076,142,814
23-Nov-14,623,575,42,524
24-Nov-14,3451,3310,139,2915
25-Nov-14,2685,2514,145,2208
26-Nov-14,2364,2193,165,1773
27-Nov-14,405,375,29,317
28-Nov-14,2280,2231,49,2079
29-Nov-14,1027,941,86,710
30-Nov-14,710,659,50,572
